Barbecued Chicken; Red Peppers; Green Peppers; Tomatoes; Red Onions; Barbecue Sauce;Chicken; Artichoke; Spinach; Garlic; Jalapeno Peppers; Fontina Cheese; Gouda Cheese; Mushrooms; Asiago Cheese; Alfredo Sauce; Pesto Sauce; Corn; Cilantro; Chipotle Sauce; Pineapple; Thai Sweet Chilli Sauce;Bacon; Pepperoni; Italian Sausage; Chorizo Sausage;Pepperoni; Bacon;Sliced Ham; Mozzarella Cheese;Capocollo; Goat Cheese; Oregano;Tomatoes; Anchovies; Green Olives;Mozzarella Cheese;Kalamata Olives; Feta Cheese; Beef Chuck Roast;Brie Carre Cheese; Prosciutto; Caramelized Onions; Pears; Thyme;‘Nduja Salami; Pancetta; Friggitello Peppers;Calabrese Salami; Capocollo;Genoa Salami;Prosciutto di San Daniele; Arugula;Coarse Sicilian Salami; Luganega Sausage; Onions;Soppressata Salami; Artichokes; Peperoncini verdi;Spinach; Kalamata Olives; Provolone Cheese; Smoked Gouda Cheese; Romano Cheese; Blue Cheese;Ricotta Cheese; Gorgonzola Piccante Cheese; Parmigiano Reggiano Cheese;Eggplant; Zucchini; Sun-dried Tomatoes; Plum Tomatoes;Mushrooms
42.3;286.08;87.11;416.54;334.13;42.3;151.22;40.18;81.61;484.78;98.41;55.0;40.18;135.73;62.84;20.83;48.23;58.24;58.24;58.24;79.58;43.01;23.59;105.45;23.59;23.59;59.24;38.97;36.57;112.33;62.02;62.02;24.96;50.37;22.44;106.43;68.35;25.44;80.83;25.44;5.2;5.2;5.2;5.2;5.2;14.68;14.68;14.68;34.56;62.83;28.27;23.0;23.0;32.45;32.45;32.45;14.83;96.68;37.06;84.12;28.29;28.5;28.5;28.5;28.5;37.93;37.93;37.93;16.34;40.88;29.55;14.55;24.54
37.42;263.83;82.11;406.41;327.63;37.42;134.35;36.55;78.11;480.78;92.79;49.25;36.55;122.11;55.84;14.33;48.61;56.24;56.24;56.24;71.58;37.64;20.21;102.7;20.21;20.21;56.24;37.22;33.95;106.33;55.89;55.89;23.21;49.37;23.06;106.68;68.85;28.19;78.58;28.19;4.83;4.83;4.83;4.83;4.83;17.93;17.93;17.93;36.43;63.58;27.15;23.25;23.25;33.58;33.58;33.58;12.7;91.31;32.68;81.25;25.91;27.88;27.88;27.88;27.88;36.43;36.43;36.43;16.21;41.88;28.05;11.55;25.66
45.05;288.96;95.86;421.79;352.63;45.05;156.6;45.68;89.99;501.91;112.29;62.63;45.68;128.61;60.84;14.83;47.61;66.61;66.61;66.61;79.33;43.39;22.09;117.32;22.09;22.09;60.62;37.85;35.95;113.33;53.27;53.27;21.96;54.12;23.94;104.81;84.6;25.94;76.46;25.94;5.58;5.58;5.58;5.58;5.58;15.18;15.18;15.18;38.06;65.21;27.15;24.88;24.88;30.58;30.58;30.58;16.95;95.81;31.31;85.75;33.16;35.38;35.38;35.38;35.38;35.56;35.56;35.56;14.96;43.0;30.68;14.3;28.04
37.05;265.33;82.48;383.91;318.88;37.05;140.1;35.55;78.49;468.28;92.29;50.75;35.55;120.98;53.96;15.83;50.11;56.74;56.74;56.74;85.58;41.26;22.09;101.07;22.09;22.09;52.37;32.35;44.32;128.46;51.02;51.02;23.08;54.74;27.94;96.93;66.85;27.07;79.46;27.07;5.58;5.58;5.58;5.58;5.58;14.93;14.93;14.93;27.56;52.96;25.4;28.75;28.75;30.33;30.33;30.33;15.2;88.06;27.93;81.62;27.54;26.0;26.0;26.0;26.0;40.18;40.18;40.18;16.09;41.5;31.3;14.8;25.41
48.8;297.71;104.48;429.41;351.13;48.8;148.6;43.68;90.36;515.78;103.41;61.25;43.68;135.73;58.09;16.08;50.23;59.74;59.74;59.74;78.71;42.14;22.46;104.82;22.46;22.46;62.12;36.22;36.57;120.08;62.89;62.89;29.71;51.99;22.06;97.81;72.6;29.44;81.96;29.44;6.7;6.7;6.7;6.7;6.7;18.56;18.56;18.56;32.31;55.58;23.27;24.75;24.75;30.33;30.33;30.33;17.58;97.81;33.18;86.25;31.29;32.25;32.25;32.25;32.25;41.18;41.18;41.18;18.34;48.13;27.55;12.55;29.79
43.3;284.21;92.48;432.41;350.26;43.3;146.72;41.8;87.74;500.91;96.41;55.38;41.8;131.23;58.59;16.83;48.36;54.61;54.61;54.61;77.96;36.51;22.84;100.32;22.84;22.84;64.87;44.22;41.45;123.46;68.02;68.02;27.46;42.12;21.69;108.81;65.48;29.44;82.83;29.44;6.33;6.33;6.33;6.33;6.33;15.18;15.18;15.18;40.56;66.33;25.77;28.5;28.5;33.08;33.08;33.08;13.58;104.93;40.56;85.0;33.41;29.75;29.75;29.75;29.75;39.93;39.93;39.93;15.34;43.88;33.05;17.43;28.54
49.3;317.08;99.98;452.29;369.51;49.3;163.22;38.18;86.61;517.53;103.66;53.13;38.18;140.23;60.84;20.08;50.36;65.49;65.49;65.49;90.96;49.39;22.84;104.95;22.84;22.84;64.12;41.47;41.57;121.96;61.39;61.39;27.08;56.37;26.06;114.18;77.35;31.32;87.96;31.32;7.45;7.45;7.45;7.45;7.45;18.43;18.43;18.43;34.43;59.58;25.15;25.63;25.63;36.33;36.33;36.33;14.95;95.43;34.31;86.37;31.16;36.0;36.0;36.0;36.0;39.81;39.81;39.81;15.84;43.88;29.68;15.55;28.04
40.55;283.21;90.36;417.54;333.51;40.55;155.85;45.8;93.49;490.03;103.16;60.75;45.8;124.23;54.84;12.58;52.98;57.36;57.36;57.36;84.83;45.89;25.84;110.2;25.84;25.84;60.49;39.1;38.95;114.46;54.77;54.77;23.83;49.49;24.44;100.56;76.23;25.69;79.83;25.69;7.83;7.83;7.83;7.83;7.83;18.56;18.56;18.56;31.68;56.58;24.9;25.0;25.0;28.08;28.08;28.08;14.95;99.93;30.93;89.0;35.29;34.13;34.13;34.13;34.13;35.56;35.56;35.56;16.21;44.63;35.43;17.93;28.41
34.17;259.08;83.48;405.29;314.51;34.17;141.85;37.3;81.36;466.03;93.91;52.63;37.3;121.11;59.59;15.21;47.23;56.61;56.61;56.61;73.33;36.76;23.21;102.7;23.21;23.21;54.12;30.97;36.57;109.33;58.02;58.02;25.33;43.49;21.56;98.93;59.85;31.07;85.08;31.07;4.45;4.45;4.45;4.45;4.45;15.43;15.43;15.43;29.93;59.21;29.27;21.38;21.38;31.7;31.7;31.7;15.33;94.68;32.68;82.5;32.66;24.75;24.75;24.75;24.75;36.06;36.06;36.06;15.96;42.13;30.93;17.55;26.16
51.05;316.08;100.98;439.91;357.63;51.05;160.1;39.05;82.74;495.66;105.91;55.25;39.05;138.98;59.59;16.96;50.98;66.86;66.86;66.86;94.96;49.39;25.46;103.45;25.46;25.46;63.24;40.35;45.57;119.33;61.39;61.39;29.71;52.24;23.44;104.31;68.23;23.44;80.83;23.44;7.08;7.08;7.08;7.08;7.08;15.06;15.06;15.06;36.18;63.83;27.65;23.13;23.13;29.58;29.58;29.58;16.2;95.81;31.68;88.62;29.79;32.88;32.88;32.88;32.88;34.43;34.43;34.43;18.09;45.13;31.05;14.8;27.04
